epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1453.71,0.36302,0.05091,0.04761,0.55626,0.86209,0.83645,0.75398,0.80721,0.73523,0.20541,0.19848,0.21757,0.20775,0.42904,0.04429,0.01255,0.53098,0.90046,0.000341137,0.000341137,0.000341137
73,1473.77,0.34662,0.05634,0.06607,0.54601,0.85722,0.79638,0.81097,0.82011,0.75304,0.2023,0.23884,0.23342,0.22071,0.41354,0.04759,0.01488,0.45932,0.90144,0.000338534,0.000338534,0.000338534
74,1493.82,0.39153,0.05535,0.05605,0.56613,0.87756,0.79542,0.84671,0.82458,0.75454,0.21007,0.2362,0.22832,0.22011,0.40315,0.04187,0.00996,0.46479,0.89628,0.00033593,0.00033593,0.00033593
75,1513.84,0.35468,0.04969,0.05803,0.50288,0.85283,0.80253,0.83882,0.83095,0.75592,0.20844,0.23351,0.22331,0.2149,0.40934,0.04216,0.01425,0.45849,0.89444,0.000333326,0.000333326,0.000333326
76,1533.63,0.3574,0.05052,0.07246,0.50753,0.85618,0.83268,0.8094,0.83352,0.75544,0.22756,0.22766,0.23973,0.23022,0.43595,0.0413,0.01668,0.46518,0.89717,0.000330722,0.000330722,0.000330722
77,1553.62,0.40308,0.05526,0.05286,0.54592,0.887,0.8239,0.77666,0.81502,0.75186,0.1855,0.24677,0.22871,0.22047,0.40239,0.03684,0.01368,0.43982,0.89399,0.000328119,0.000328119,0.000328119
78,1573.69,0.34514,0.06076,0.07328,0.52436,0.86171,0.8666,0.79478,0.84274,0.76674,0.21949,0.22505,0.23919,0.23159,0.41403,0.0442,0.01203,0.44256,0.89729,0.000325515,0.000325515,0.000325515
79,1593.86,0.38774,0.06561,0.07247,0.54582,0.87412,0.80403,0.80629,0.82892,0.75644,0.21186,0.25033,0.23545,0.22369,0.40765,0.03704,0.01627,0.443,0.90805,0.000322911,0.000322911,0.000322911
80,1613.88,0.37462,0.05855,0.06319,0.51668,0.86617,0.82377,0.82799,0.84417,0.76458,0.23133,0.24102,0.24044,0.22748,0.4024,0.04016,0.01393,0.44641,0.9007,0.000320308,0.000320308,0.000320308
81,1633.87,0.35489,0.04236,0.04547,0.49792,0.858,0.80987,0.79319,0.82835,0.77012,0.21198,0.23521,0.23598,0.22785,0.39424,0.03655,0.00847,0.45172,0.89141,0.000317704,0.000317704,0.000317704
82,1653.98,0.34596,0.05441,0.05105,0.49404,0.85957,0.82,0.82156,0.84275,0.77014,0.21302,0.23715,0.23734,0.22711,0.39544,0.04223,0.00911,0.42947,0.89478,0.0003151,0.0003151,0.0003151
83,1673.7,0.34085,0.04181,0.06142,0.50918,0.85169,0.85142,0.80816,0.8324,0.76434,0.22009,0.21497,0.22922,0.217,0.39233,0.04467,0.01109,0.46621,0.89555,0.000312497,0.000312497,0.000312497
84,1693.47,0.35743,0.05446,0.06637,0.50954,0.87136,0.83385,0.79855,0.831,0.76447,0.23719,0.20963,0.23825,0.22956,0.39435,0.03593,0.01292,0.41974,0.89087,0.000309893,0.000309893,0.000309893
85,1713.14,0.35094,0.05474,0.04944,0.4961,0.86694,0.84387,0.83232,0.84219,0.76912,0.23576,0.23228,0.24122,0.23277,0.40605,0.03974,0.01039,0.41535,0.899,0.000307289,0.000307289,0.000307289
86,1733.19,0.35133,0.04434,0.06566,0.48235,0.85343,0.80789,0.83682,0.83621,0.76567,0.21483,0.23939,0.23798,0.22923,0.40929,0.03765,0.01194,0.42343,0.89497,0.000304685,0.000304685,0.000304685
87,1753.23,0.35025,0.04441,0.05363,0.48022,0.85882,0.82088,0.80378,0.83001,0.7512,0.21215,0.22301,0.23388,0.22489,0.43316,0.03683,0.01364,0.45784,0.90446,0.000302082,0.000302082,0.000302082
88,1772.96,0.34789,0.05196,0.05462,0.47686,0.85739,0.82455,0.83149,0.84146,0.77544,0.23929,0.23585,0.24577,0.23715,0.38446,0.03472,0.01289,0.3943,0.89411,0.000299478,0.000299478,0.000299478
89,1792.8,0.33539,0.04184,0.05155,0.47581,0.86616,0.85725,0.82439,0.84082,0.77062,0.25538,0.21992,0.2456,0.23489,0.3833,0.03388,0.01172,0.40408,0.89283,0.000296874,0.000296874,0.000296874
90,1812.54,0.3473,0.03819,0.05734,0.49148,0.85628,0.85202,0.82548,0.84188,0.77604,0.25142,0.2377,0.24365,0.23407,0.38491,0.03772,0.01432,0.41314,0.89333,0.000294271,0.000294271,0.000294271
91,1832.23,0.33851,0.03639,0.07103,0.47544,0.86698,0.81308,0.82241,0.83842,0.77236,0.24815,0.23403,0.24205,0.23277,0.37796,0.03593,0.01548,0.39006,0.89318,0.000291667,0.000291667,0.000291667
92,1852.34,0.35496,0.0405,0.04341,0.48604,0.85946,0.80844,0.8211,0.83704,0.77758,0.23806,0.22505,0.24051,0.23431,0.36899,0.0353,0.0132,0.39986,0.893,0.000289063,0.000289063,0.000289063
93,1872.16,0.31926,0.03847,0.05566,0.4399,0.8476,0.82298,0.84608,0.83995,0.77385,0.23589,0.23194,0.24327,0.23485,0.38779,0.03582,0.01367,0.39477,0.89608,0.00028646,0.00028646,0.00028646
94,1891.98,0.33507,0.04842,0.06088,0.46174,0.8522,0.86531,0.82271,0.85072,0.77584,0.25039,0.22752,0.24357,0.23566,0.37577,0.03256,0.01868,0.37485,0.89215,0.000283856,0.000283856,0.000283856
95,1912.04,0.34314,0.04467,0.04749,0.43187,0.86717,0.87405,0.8229,0.84872,0.78129,0.23697,0.24718,0.24963,0.2387,0.36884,0.04025,0.01103,0.36677,0.88343,0.000281252,0.000281252,0.000281252
96,1932.28,0.3371,0.04055,0.04917,0.44395,0.84469,0.83017,0.8443,0.84475,0.77875,0.25012,0.22205,0.24376,0.23672,0.36942,0.03278,0.01689,0.39396,0.88759,0.000278649,0.000278649,0.000278649
97,1952.3,0.32725,0.0516,0.05463,0.44021,0.84155,0.82076,0.79853,0.83421,0.7756,0.2182,0.24137,0.23852,0.23216,0.36311,0.03661,0.00957,0.41474,0.88819,0.000276045,0.000276045,0.000276045
