epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1790.77,0.53364,0.08081,0.17129,0.80699,0.88079,0.66309,0.97526,0.78207,0.7288,0.2729,0.55317,0.35564,0.35564,0.37562,0.0151,0.01938,0.64977,0.80948,0.000324058,0.000324058,0.000324058
80,1813.4,0.52127,0.06266,0.12801,0.78371,0.88119,0.68597,0.93438,0.77984,0.71378,0.29043,0.50581,0.35341,0.35341,0.4015,0.01612,0.02024,0.65682,0.81109,0.000316559,0.000316559,0.000316559
81,1836.34,0.53571,0.08907,0.13893,0.83236,0.87897,0.66846,0.9615,0.78275,0.72169,0.27444,0.53313,0.35632,0.35632,0.40292,0.01966,0.02117,0.66273,0.81054,0.00030906,0.00030906,0.00030906
82,1859.48,0.51465,0.06495,0.16139,0.80799,0.85942,0.68491,0.96259,0.76437,0.71115,0.29388,0.5369,0.33794,0.33794,0.36441,0.01841,0.01372,0.64749,0.80422,0.000301561,0.000301561,0.000301561
83,1881.64,0.48545,0.07382,0.11676,0.72067,0.85737,0.69146,0.98678,0.77186,0.71473,0.29843,0.55872,0.34544,0.34544,0.38965,0.01716,0.01107,0.65247,0.81021,0.000294061,0.000294061,0.000294061
84,1903.24,0.49359,0.06608,0.17158,0.82581,0.86011,0.66852,0.97399,0.75872,0.70276,0.27859,0.54576,0.33229,0.33229,0.3802,0.01513,0.01238,0.66053,0.81007,0.000286562,0.000286562,0.000286562
85,1925.56,0.49084,0.0673,0.15903,0.78995,0.87081,0.66629,0.96696,0.77518,0.69819,0.27169,0.54349,0.34875,0.34875,0.46773,0.0144,0.01655,0.69781,0.8251,0.000279063,0.000279063,0.000279063
86,1947.3,0.47762,0.06101,0.12722,0.75588,0.85346,0.65646,0.96189,0.76886,0.70278,0.26866,0.53434,0.34243,0.34243,0.39965,0.01522,0.02057,0.70995,0.81323,0.000271564,0.000271564,0.000271564
87,1969.73,0.48919,0.06909,0.12702,0.74644,0.88884,0.65491,0.96772,0.77579,0.71172,0.26728,0.54361,0.34936,0.34936,0.38206,0.01599,0.01539,0.69071,0.81106,0.000264064,0.000264064,0.000264064
88,1991.5,0.53075,0.08022,0.14422,0.77634,0.8819,0.6573,0.96429,0.77131,0.69251,0.26777,0.54177,0.34488,0.34488,0.46175,0.01683,0.01288,0.7035,0.82705,0.000256565,0.000256565,0.000256565
89,2013.36,0.45589,0.08798,0.11948,0.73466,0.85356,0.67454,0.9724,0.78443,0.72826,0.28515,0.544,0.35801,0.35801,0.38549,0.01695,0.0113,0.68629,0.81371,0.000249066,0.000249066,0.000249066
90,2035.12,0.44674,0.06075,0.11936,0.70473,0.84889,0.67358,0.95491,0.78801,0.72399,0.28486,0.52856,0.36159,0.36159,0.42434,0.01415,0.01261,0.69691,0.81916,0.000241567,0.000241567,0.000241567
91,2057.43,0.4608,0.05205,0.13174,0.75255,0.84935,0.66405,0.97741,0.78995,0.73652,0.27566,0.5504,0.36352,0.36352,0.35067,0.01451,0.01581,0.69326,0.80377,0.000234068,0.000234068,0.000234068
92,2078.79,0.49606,0.08022,0.13426,0.80098,0.87997,0.69815,0.92857,0.78421,0.72447,0.30369,0.5,0.35779,0.35779,0.36327,0.01438,0.01527,0.65757,0.80602,0.000226568,0.000226568,0.000226568
93,2100.84,0.48281,0.07215,0.12729,0.75824,0.87159,0.68158,0.92857,0.7955,0.73463,0.28862,0.5,0.36907,0.36907,0.39961,0.01489,0.01393,0.63164,0.81194,0.000219069,0.000219069,0.000219069
94,2122.63,0.48216,0.04558,0.13889,0.71809,0.883,0.69725,0.9372,0.81549,0.76179,0.30489,0.51059,0.38906,0.38906,0.35647,0.01373,0.01366,0.62486,0.80322,0.00021157,0.00021157,0.00021157
95,2145.52,0.43747,0.06294,0.1094,0.68382,0.84376,0.69277,0.96391,0.79912,0.7318,0.28905,0.5451,0.37269,0.37269,0.38583,0.01596,0.01311,0.62668,0.80834,0.00020407,0.00020407,0.00020407
96,2169.25,0.43644,0.06418,0.13339,0.72452,0.85858,0.68734,0.96429,0.78022,0.72542,0.29296,0.55078,0.35379,0.35379,0.34991,0.01965,0.01187,0.62183,0.80194,0.000196571,0.000196571,0.000196571
97,2192.24,0.44516,0.06459,0.13775,0.65897,0.85281,0.67999,0.98214,0.78786,0.73475,0.28659,0.55357,0.36143,0.36143,0.35371,0.01902,0.01218,0.64033,0.80314,0.000189072,0.000189072,0.000189072
98,2214.99,0.44006,0.04957,0.09121,0.72106,0.86751,0.66616,1,0.78303,0.72594,0.27708,0.57143,0.3566,0.3566,0.39727,0.01744,0.01459,0.68367,0.8116,0.000181573,0.000181573,0.000181573
99,2237.7,0.42768,0.06695,0.15994,0.71948,0.85301,0.66087,0.98214,0.77898,0.72204,0.27046,0.55824,0.35255,0.35255,0.33974,0.01503,0.01718,0.68443,0.79884,0.000174074,0.000174074,0.000174074
100,2260.24,0.46895,0.04851,0.11278,0.72114,0.84374,0.66209,0.98214,0.77993,0.72051,0.27493,0.55357,0.3535,0.3535,0.37936,0.01615,0.01526,0.64157,0.80691,0.000166574,0.000166574,0.000166574
101,2283.65,0.44524,0.05607,0.13483,0.68615,0.84274,0.70102,0.88794,0.79568,0.72904,0.30376,0.46035,0.36925,0.36925,0.38615,0.01687,0.01428,0.60907,0.80763,0.000159075,0.000159075,0.000159075
102,2307.37,0.44728,0.07724,0.12603,0.71326,0.85116,0.70687,0.95179,0.80589,0.74893,0.31396,0.52754,0.37946,0.37946,0.3724,0.0152,0.0133,0.59164,0.80581,0.000151576,0.000151576,0.000151576
